search_term,reject_type,rejected_on,spend_at_rejection,spend_since_rejection,last_counted_date
built in,soft,2026-09-04,0.00,0.00,2026-08-27
ats core,soft,2026-09-09,0.00,0.00,2026-09-08
flynne ai,soft,2026-09-15,0.00,0.00,2026-09-11
placed,soft,2026-09-15,0.00,0.00,2026-09-10
crewbloom via workable,soft,2026-09-15,0.00,0.00,2026-09-10
greenhouse candidate portal,soft,2026-09-15,0.00,0.00,2026-09-09
ats filter,soft,2026-09-15,0.00,0.00,2026-09-09
jobportal,soft,2026-09-15,0.00,0.00,2026-09-13
recruitment websites,soft,2026-09-15,0.00,0.00,2026-09-06
recruitment sites,soft,2026-09-15,0.00,0.00,2026-09-04
openrole,soft,2026-09-15,0.00,0.00,2026-09-02
knockri assessment,soft,2026-09-15,0.00,0.00,2026-09-09
ats screening,soft,2026-09-15,0.00,0.00,2026-09-13
greenhouse applications,soft,2026-09-15,0.00,0.00,2026-08-31
recruitment portal,soft,2026-09-15,0.00,0.00,2026-09-12
www workopolis com canada,soft,2026-09-15,0.00,0.00,2026-09-15
www jobillico com canada,soft,2026-09-15,0.00,0.00,2026-09-15
www dice com usa,soft,2026-09-15,0.00,0.00,2026-09-15
